City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
210,Kavieng,PG,82.26,scattered clouds,-2.57,150.8,Nusa Island Retreat
214,Ozark,US,80.6,clear sky,37.02,-93.21,Americas Best Value Inn Ozark Springfield
215,Albertville,US,87.01,scattered clouds,34.27,-86.21,Microtel Inn & Suites by Wyndham Albertville
219,Ewa Beach,US,80.6,scattered clouds,21.32,-158.01,Parkside By Gentry
220,Pantai Remis,MY,77.0,few clouds,4.46,100.63,Leisure Homestay
221,Kupang,ID,76.15,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
222,Meulaboh,ID,76.75,overcast clouds,4.14,96.13,Kost Pria
223,Port Moresby,PG,75.2,scattered clouds,-9.44,147.18,Lamana Hotel
231,Butte,US,89.01,clear sky,39.65,-121.57,Lime Saddle Campground
232,Tual,ID,80.22,clear sky,-5.67,132.75,Grand Vilia Hotel
233,Altamont,US,82.0,clear sky,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
234,Ambagarh Chauki,IN,77.94,overcast clouds,20.78,80.72,Family Dhaba
236,Uarini,BR,89.6,scattered clouds,-2.99,-65.11,
238,Mahebourg,MU,71.6,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
240,Abonnema,NG,77.0,thunderstorm with light rain,4.71,6.79,Corper's Lodge Obonoma
242,Muroto,JP,71.08,overcast clouds,33.28,134.15,Oota Ryokan
243,Nouakchott,MR,78.8,clear sky,18.09,-15.98,Hôtel Iman
245,Diego De Almagro,CL,78.28,clear sky,-26.37,-70.05,hotel luna del desierto
248,Kaduqli,SD,86.88,clear sky,11.02,29.72,فندق الله جابو
250,Bintulu,MY,77.0,broken clouds,3.17,113.03,900 Boutique INN
251,Wajir,KE,79.5,broken clouds,1.75,40.06,Al- Amin lodge
253,Umm Lajj,SA,79.95,clear sky,25.02,37.27,Tanal Hotel Apartment
254,Isangel,VU,71.2,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
256,Plainview,US,82.99,clear sky,40.78,-73.47,Holiday Inn Plainview-Long Island
259,Fare,PF,80.44,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
